iteration,population,epsilon,feasible_ratio,best_cost,minimum_cv
0,600,0.0,0.8516666666666667,44922.90763643735,0.0
1,599,0.0,0.9081803005008348,44922.90763643735,0.0
2,598,0.0,0.9498327759197325,44878.53304317196,0.0
3,596,0.0,0.964765100671141,44845.43373632274,0.0
4,595,0.0,0.9798319327731092,44845.43373632274,0.0
5,594,0.0,0.9831649831649831,44820.13797866154,0.0
6,593,0.0,0.9881956155143339,44820.13797866154,0.0
7,592,0.0,0.9949324324324325,44820.13797866154,0.0
8,590,0.0,1.0,44820.13797866154,0.0
9,589,0.0,1.0,44820.13797866154,0.0
10,588,0.0,1.0,44820.13797866154,0.0
11,587,0.0,1.0,44802.87420306064,0.0
12,586,0.0,1.0,44802.87420306064,0.0
13,585,0.0,1.0,44802.87420306064,0.0
14,583,0.0,1.0,44762.713544688835,0.0
15,582,0.0,1.0,44762.713544688835,0.0
16,581,0.0,1.0,44762.713544688835,0.0
17,580,0.0,1.0,44762.713544688835,0.0
18,579,0.0,1.0,44762.713544688835,0.0
19,577,0.0,1.0,44762.713544688835,0.0
20,576,0.0,1.0,44762.713544688835,0.0
21,575,0.0,1.0,44762.713544688835,0.0
22,574,0.0,1.0,44762.713544688835,0.0
23,573,0.0,1.0,44762.713544688835,0.0
24,571,0.0,1.0,44755.457609918914,0.0
25,570,0.0,1.0,44755.457609918914,0.0
26,569,0.0,1.0,44755.457609918914,0.0
27,568,0.0,1.0,44755.457609918914,0.0
28,567,0.0,1.0,44755.457609918914,0.0
29,565,0.0,1.0,44755.457609918914,0.0
30,564,0.0,1.0,44746.713394947736,0.0
31,563,0.0,1.0,44746.713394947736,0.0
32,562,0.0,1.0,44746.713394947736,0.0
33,561,0.0,1.0,44740.93507603676,0.0
34,559,0.0,1.0,44722.387100117296,0.0
35,558,0.0,1.0,44714.52938296227,0.0
36,557,0.0,1.0,44714.52938296227,0.0
37,556,0.0,1.0,44714.52938296227,0.0
38,555,0.0,1.0,44714.52938296227,0.0
39,554,0.0,1.0,44714.52938296227,0.0
40,552,0.0,1.0,44712.08176954859,0.0
41,551,0.0,1.0,44712.08176954859,0.0
42,550,0.0,1.0,44712.08176954859,0.0
43,549,0.0,1.0,44710.68713538576,0.0
44,548,0.0,1.0,44706.376310792315,0.0
45,546,0.0,1.0,44705.493377813356,0.0
46,545,0.0,1.0,44705.493377813356,0.0
47,544,0.0,1.0,44700.09674574504,0.0
48,543,0.0,1.0,44698.07763346633,0.0
49,542,0.0,1.0,44698.07763346633,0.0
50,540,0.0,1.0,44696.69164341562,0.0
51,539,0.0,1.0,44694.94602356259,0.0
52,538,0.0,1.0,44688.06630981729,0.0
53,537,0.0,1.0,44688.06630981729,0.0
54,536,0.0,1.0,44688.06630981729,0.0
55,534,0.0,1.0,44685.09055053653,0.0
56,533,0.0,1.0,44682.48510711438,0.0
57,532,0.0,1.0,44681.56322032951,0.0
58,531,0.0,1.0,44679.14410788493,0.0
59,530,0.0,1.0,44675.01897161946,0.0
60,528,0.0,1.0,44673.636137207075,0.0
61,527,0.0,1.0,44673.636137207075,0.0
62,526,0.0,1.0,44663.188113783865,0.0
63,525,0.0,1.0,44663.188113783865,0.0
64,524,0.0,1.0,44663.188113783865,0.0
65,523,0.0,1.0,44663.188113783865,0.0
66,521,0.0,1.0,44663.188113783865,0.0
67,520,0.0,1.0,44663.188113783865,0.0
68,519,0.0,1.0,44663.188113783865,0.0
69,518,0.0,1.0,44663.188113783865,0.0
70,517,0.0,1.0,44659.61969661397,0.0
71,515,0.0,1.0,44658.94365079742,0.0
72,514,0.0,1.0,44658.94365079742,0.0
73,513,0.0,1.0,44658.78735650898,0.0
74,512,0.0,1.0,44657.39579390488,0.0
75,511,0.0,1.0,44654.09809908364,0.0
76,509,0.0,1.0,44652.43432969756,0.0
77,508,0.0,1.0,44651.08058288127,0.0
78,507,0.0,1.0,44651.08058288127,0.0
79,506,0.0,1.0,44649.03011467509,0.0
80,505,0.0,1.0,44645.13454225322,0.0
81,503,0.0,1.0,44645.13454225322,0.0
82,502,0.0,1.0,44644.21226985466,0.0
83,501,0.0,1.0,44643.83329381675,0.0
84,500,0.0,1.0,44642.71293313819,0.0
85,499,0.0,1.0,44640.945776148656,0.0
86,497,0.0,1.0,44637.53121993394,0.0
87,496,0.0,1.0,44637.53121993394,0.0
88,495,0.0,1.0,44635.18726287983,0.0
89,494,0.0,1.0,44635.18726287983,0.0
90,493,0.0,1.0,44633.22613725693,0.0
91,492,0.0,1.0,44632.82627052165,0.0
92,490,0.0,1.0,44632.82627052165,0.0
93,489,0.0,1.0,44630.449122163365,0.0
94,488,0.0,1.0,44629.88942766416,0.0
95,487,0.0,1.0,44629.88942766416,0.0
96,486,0.0,1.0,44629.157118872856,0.0
97,484,0.0,1.0,44627.966716412324,0.0
98,483,0.0,1.0,44627.50282086057,0.0
99,482,0.0,1.0,44627.28497855367,0.0
100,481,0.0,1.0,44626.71447116144,0.0
101,480,0.0,1.0,44625.156684398404,0.0
102,478,0.0,1.0,44624.547939796765,0.0
103,477,0.0,1.0,44624.547939796765,0.0
104,476,0.0,1.0,44623.76888260656,0.0
105,475,0.0,1.0,44622.77608401456,0.0
106,474,0.0,1.0,44621.55074640383,0.0
107,472,0.0,1.0,44621.55074640383,0.0
108,471,0.0,1.0,44621.55074640383,0.0
109,470,0.0,1.0,44621.539778030856,0.0
110,469,0.0,1.0,44620.34671037491,0.0
111,468,0.0,1.0,44620.16392500784,0.0
112,466,0.0,1.0,44619.82934206564,0.0
113,465,0.0,1.0,44619.82934206564,0.0
114,464,0.0,1.0,44619.34603642623,0.0
115,463,0.0,1.0,44619.10732374941,0.0
116,462,0.0,1.0,44618.86828666879,0.0
117,461,0.0,1.0,44618.86558275922,0.0
118,459,0.0,1.0,44618.31460571053,0.0
119,458,0.0,1.0,44618.15425010516,0.0
120,457,0.0,1.0,44618.063470906716,0.0
121,456,0.0,1.0,44617.56739978888,0.0
122,455,0.0,1.0,44617.382872111455,0.0
123,453,0.0,1.0,44616.933590223416,0.0
124,452,0.0,1.0,44616.82990648505,0.0
125,451,0.0,1.0,44616.82990648505,0.0
126,450,0.0,1.0,44616.64546996521,0.0
127,449,0.0,1.0,44616.64546996521,0.0
128,447,0.0,1.0,44616.094496817626,0.0
129,446,0.0,1.0,44615.80685534087,0.0
130,445,0.0,1.0,44615.5689352405,0.0
131,444,0.0,1.0,44615.22339241388,0.0
